	A549_CTL_rnaseq	A549_PIC_rnaseq
WDR17	757	64
WDR13	1190	726
WDR12	3661	572
WDR11-DT	21	20
WDR11	4208	2709
WDR1	15995	2018
WDPCP	321	31
WDHD1	4497	150
WDFY3-AS2	175	136
WDFY3-AS1	164	16
WDFY3	3035	263
WDFY2	878	835
WDFY1	4324	418
WDCP	1998	2024
WBP4	806	994
WBP2NL	18	77
WBP2	2213	1526
WBP1P1	12	0
WBP1LP2	63	0
WBP1L	2042	185
WBP11	7626	2004
WBP1	826	596
WASL-DT	119	1011
WASL	4654	627
WASIR2	14	2
WASHC5-AS1	632	35
WASHC5	6084	416
WASHC4	9024	4781
WASHC3	650	69
WASHC2C	3526	521
WASHC2A	1884	549
WASHC1	162	387
WASH9P	111	195
WASH8P	206	421
WASH7P	34	56
WASH6P	129	266
WASH4P	59	35
WASH3P	126	261
WASH2P	85	172
WASF3	28	7
WASF2	4502	467
WASF1	700	109
WARS2-AS1	444	811
WARS2	624	75
WARS1	7091	1748
WAPL-DT	73	515
WAPL	4596	1113
WAKMAR2	7	381
WAC-AS1	1457	743
WAC	8064	2274
VXN	33	443
VWF	85	77
VWDE	207	67
VWCE	8	48
VWA8-AS1	0	13
VWA8	1743	122
VWA7	54	118
VWA5B2	25	42
VWA5A	69	62
VWA3A	0	12
VWA1	271	0
VTRNA1-2	1	37
VTN	875	53
VTI1B	4837	588
VTI1A	1821	343
VTCN1	12	34
VTA1	4040	443
VSX1	92	16
VSTM5	2	16
VSTM2L	54	9
VSTM2A	0	30
VSTM1	28	176
VSIR	542	38
VSIG8	0	14
VSIG2	4	26
VSIG10L2	62	5
VSIG10L-AS1	25	89
VSIG10L	536	307
VSIG10	1294	336
VSIG1	48	126
VRK3	1202	501
VRK2	3515	672
VRK1	3139	311
VPS9D1-AS1	562	168
VPS9D1	431	397
VPS8	1346	176
VPS72	1610	369
VPS54	2660	389
VPS53	3487	603
VPS52	1147	401
VPS51	1003	225
VPS50	1256	113
VPS4B	3207	668
VPS4A	5640	2031
VPS45	2211	437
VPS41	4383	293
VPS39-DT	428	92
VPS39	1883	1583
VPS37D	43	6
VPS37C	669	138
VPS37B	1034	25266
VPS37A	3562	1038
VPS36	2762	629
VPS35L	4407	425
VPS35	13090	1052
VPS33B-DT	11	24
VPS33B	1122	735
VPS33A	3087	302
VPS29	5450	1089
VPS28	754	563
VPS26C	1830	701
VPS26B	1883	224
VPS26A	6964	943
VPS25	2924	746
VPS18	1101	280
VPS16	1282	2304
VPS13D	2566	176
VPS13C-DT	0	30
VPS13C	7771	1109
VPS13B-DT	10	62
VPS13B	2860	330
VPS13A-AS1	25	23
VPS13A	6490	2477
VPS11-DT	1	18
VPS11	667	340
VOPP1	4166	42
VNN1	20	115
VN2R3P	0	38
VN2R19P	0	10
VN2R17P	0	36
VN1R96P	0	72
VN1R82P	18	18
VN1R81P	52	31
VN1R48P	11	0
VN1R1	6	19
VMP1	16439	73925
VMO1	7	40
VMAC	25	19
VMA21	6438	1456
VLDLR-AS1	26	18
VLDLR	1861	249
VKORC1L1	6948	415
VKORC1	852	45
VIT	0	12
VIRMA-DT	2	52
VIRMA	6019	840
VIPR2	3	20
VIPR1-AS1	19	3
VIPR1	101	42
VIPAS39	1020	133
VIP	0	28
VIM-AS1	6761	2950
VIM	58942	31069
VIL1	1225	106
VHL	4009	3200
VGLL4	1759	1688
VGLL3	1666	247
VGF	232	1268
VEZT	6636	1502
VEZF1P1	13	0
VEZF1	5216	3311
VEPH1	141	58
VEGFD	24	15
VEGFC	384	164
VEGFB	502	47
VEGFA	1417	3496
VDR	404	400
VDAC3	11313	907
VDAC2P5	1717	486
VDAC2	8591	3419
VDAC1P8	1639	210
VDAC1P2	10	0
VDAC1P1	214	6
VDAC1	22298	1289
VCPKMT	622	1246
VCPIP1	2426	2495
VCP	35730	1774
VCL	19467	2250
VCAN-AS1	725	98
VCAN	9728	1331
VCAM1	2	46
VBP1	6283	1201
VAX2	119	23
VAX1	84	59
VAV3	1096	39
VAV2	1980	86
VAV1	359	222
Vault	11	12
VAT1	6686	1048
VASP	3621	938
VASN	163	137
VASH2	837	87
VASH1-AS1	293	127
VASH1	609	179
VARS2	654	769
VARS1	2707	1693
VAPB	5264	412
VAPA	8558	921
VANGL2	175	1244
VANGL1	2933	111
VAMP8	409	131
VAMP7	4069	456
VAMP5	0	51
VAMP4	640	363
